plot,cover
Plot1,2544
Plot2,2418
Plot3,3776
Plot4,2502
Plot5,2180
Plot6,2614
Plot7,2460
Plot8,2586
Plot9,2054
Plot10,2124
Plot11,2362
Plot12,2152
Plot13,2222
Plot14,1984
Plot15,3132
Plot16,2726
Plot17,2390
Plot19,3314
Plot20,2544
Plot21,2628
