plot,cover
Plot1,4308
Plot2,3664
Plot3,5680
Plot4,4154
Plot5,4028
Plot6,4238
Plot7,4518
Plot8,5344
Plot9,4084
Plot10,4364
Plot11,4350
Plot12,3510
Plot13,3328
Plot14,3146
Plot15,4672
Plot16,4252
Plot17,2754
Plot19,3342
Plot20,3580
Plot21,4518
