plot,cover
Plot1,1764.2
Plot2,1969.6
Plot3,2791.2
Plot4,1985.4
Plot5,2459.4
Plot6,2080.2
Plot7,2048.6
Plot8,2143.4
Plot9,1906.4
Plot10,1527.2
Plot11,2190.8
Plot12,2238.2
Plot13,2412
Plot14,2269.8
Plot15,2206.6
Plot16,1811.6
Plot17,2159.2
Plot19,2143.4
Plot20,2064.4
Plot21,2127.6
