plot,cover
Plot1,1886
Plot2,2068
Plot3,2796
Plot4,2082
Plot5,2502
Plot6,2166
Plot7,2138
Plot8,2222
Plot9,2012
Plot10,1676
Plot11,2264
Plot12,2306
Plot13,2460
Plot14,2334
Plot15,2278
Plot16,1928
Plot17,2236
Plot19,2222
Plot20,2152
Plot21,2208
