plot,cover
Plot1,2642
Plot2,2698
Plot3,3622
Plot4,2656
Plot5,2530
Plot6,3006
Plot7,2558
Plot8,2964
Plot9,2558
Plot10,2544
Plot11,2796
Plot12,2404
Plot13,2068
Plot14,1886
Plot16,3146
Plot17,2054
Plot19,2656
Plot20,2068
Plot21,2810
