plot,cover
Plot1,2880
Plot2,3062
Plot3,4560
Plot4,3104
Plot5,2922
Plot6,3202
Plot7,3244
Plot8,3552
Plot9,2922
Plot10,2768
Plot11,2838
Plot12,2642
Plot13,2502
Plot14,2460
Plot15,3636
Plot16,3300
Plot17,2012
Plot19,3132
Plot20,2502
Plot21,3510
