plot,cover
Plot1,2096
Plot2,2194
Plot3,2894
Plot4,2082
Plot5,1998
Plot6,2096
Plot7,2082
Plot8,2110
Plot9,1858
Plot10,2138
Plot11,2558
Plot12,2950
Plot13,2474
Plot14,2558
Plot15,2516
Plot16,2264
Plot17,2306
Plot19,2334
Plot20,2278
Plot21,2236
