nest_id,date,eggs,young,dead_young,nest_status,adult_status,young_status,notes
P15 N2 24,2024-06-10,0,5,0,cn,va,py,eyes open. pinfeatgers barely started. position on map looks wrong. it’s closer to the other nest but still along the ditch 
P15 N2 24,2024-06-12,0,6,0,cn,va,py,"Jane; afternoon, male adult nearby"
P15 N2 24,2024-06-15,0,5,0,cn,va,fy,
P15 N2 24,2024-06-17,0,0,0,cn,va,no,
p15 probable ,2024-06-26,,,,,fa,,female and male both feeding and circling/guarding. Jane flushed two from the little knob near the rose bushes and the oak tree more that could be female or flying babies
P16 N1 24,2024-06-26,2,3,0,cn,va,py,"4 males and 2 males in the vicinity and guarding. after Jane vt Pune and checked the nest,
male returned to nest to check on it and female perched on the nearby rosebish with food in her beak"
P16 N1 24,2024-06-27,2,3,0,cn,va,py,Jane pulled the grass up a bit to shade them more (are under the bush so are protected
P16 N1 24,2024-07-01,2,0,0,fn,va,no,"Jane: 2 adult couples plus 1 more male guarding to tbe east and to the west along the hillside. may be another nest area to the west?
also Savannah sparrow feeding young about 20 m to the east among tbe rose bushes on the hillside"
P16 N2 24,2024-07-03,0,4,0,cn,fa,ny,"Jane found by observing male and female guarding and sticking close
to the same spot with food, then observed male go down several times over 10 minutes or so before coming up without food ..male kept popping down and back up again with food still in his mouth "
P16 N2 24,2024-07-10,0,0,0,fn,va,no,Jane; male adults nearby guarding. did not see anyone feeding. females seemed to be further away.
p19 N1 24,2024-06-26,,,,,fa,fy,"Jane observed male and female guarding, saw 1 baby in the grass, fully feathered and put of the nest, mouth gaping. could not find any other babies nor a nest because did not want to disturb too long—parents and baby anxious to feed"
p19 N1 24,2024-07-01,,,,,fa,,"Jane walked past and observed from a distance, saw the female adult still very close by with food in her mouth"
p19 N1 24,2024-07-03,,,,,va,,1 F still feeding and guarding consistently right in tbe same vicinity for 15 minutes while I was walking and standing near where she was feeding her young last visit (Jane) 
P21 N1 24,2024-06-04,0,0,0,cn,no,no,"Gillian- saw no bobolinks nearby, no new eggs "
